A		MARBLEHEAD
B		OBSERVED_EDITED
C		STAGE
E		
F		NOAA
Units		meters
Type		INST-VAL
197	12Jun2015  1936	174.573
198	12Jun2015  1942	174.575
199	12Jun2015  1948	174.563
200	12Jun2015  1954	174.545
201	12Jun2015  2000	174.563
202	12Jun2015  2006	174.576
203	12Jun2015  2012	174.561
204	12Jun2015  2018	174.580
205	12Jun2015  2024	174.554
206	12Jun2015  2030	174.573
207	12Jun2015  2036	174.564
208	12Jun2015  2042	174.562
209	12Jun2015  2048	174.563
210	12Jun2015  2054	174.545
211	12Jun2015  2100	174.536
212	12Jun2015  2106	174.543
213	12Jun2015  2112	174.532
214	12Jun2015  2118	174.560
215	12Jun2015  2124	174.552
216	12Jun2015  2130	174.545
217	12Jun2015  2136	174.554
218	12Jun2015  2142	174.565
219	12Jun2015  2148	174.552
220	12Jun2015  2154	174.549
221	12Jun2015  2200	174.539
222	12Jun2015  2206	174.556
223	12Jun2015  2212	174.557
224	12Jun2015  2218	174.566
225	12Jun2015  2224	174.534
226	12Jun2015  2230	174.529
227	12Jun2015  2236	174.517
228	12Jun2015  2242	174.516
229	12Jun2015  2248	174.527
230	12Jun2015  2254	174.499
231	12Jun2015  2300	174.534
232	12Jun2015  2306	174.541
233	12Jun2015  2312	174.524
234	12Jun2015  2318	174.535
235	12Jun2015  2324	174.522
236	12Jun2015  2330	174.526
237	12Jun2015  2336	174.535
238	12Jun2015  2342	174.539
239	12Jun2015  2348	174.566
240	12Jun2015  2354	174.539
241	13Jun2015  0000	174.531
